SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
625,IR-4 (1),4 (1),1,1,Automated Incident Handling Processes,Automated Incident Handling Processes,The organization employs automated mechanisms to support the incident handling process.,,Organization,,,,P1,0,0,1,1,89
626,IR-4 (10),4 (10),1,10,Supply Chain Coordination,Supply Chain Coordination,The organization coordinates incident handling activities involving supply chain events with other organizations involved in the supply chain.,,Organization,,,,P1,0,0,0,0,89
627,IR-4 (2),4 (2),1,2,Dynamic Reconfiguration,Dynamic Reconfiguration,The organization includes dynamic reconfiguration of [Assignment: organization-defined information system components] as part of the incident response capability.,Assignment: organization-defined information system components,Organization,,,,P1,0,0,0,0,89
628,IR-4 (3),4 (3),1,3,Continuity Of Operations,Continuity Of Operations,The organization identifies [Assignment: organization-defined classes of incidents] and [Assignment: organization-defined actions to take in response to classes of incidents] to ensure continuation of organizational missions and business functions.,Assignment: organization-defined classes of incidents,Organization,,,,P1,0,0,0,0,89
629,IR-4 (4),4 (4),1,4,Information Correlation,Information Correlation,The organization correlates incident information and individual incident responses to achieve an organization-wide perspective on incident awareness and response.,,Organization,,,,P1,0,0,0,1,89
630,IR-4 (5),4 (5),1,5,Automatic Disabling Of Information System,Automatic Disabling Of Information System,The organization implements a configurable capability to automatically disable the information system if [Assignment: organization-defined security violations] are detected.,Assignment: organization-defined security violations,Organization,,,,P1,0,0,0,0,89
631,IR-4 (6),4 (6),1,6,Insider Threats - Specific Capabilities,Insider Threats - Specific Capabilities,The organization implements incident handling capability for insider threats.,,Organization,,,,P1,0,0,0,0,89
632,IR-4 (7),4 (7),1,7,Insider Threats - Intra-Organization Coordination,Insider Threats - Intra-Organization Coordination,The organization coordinates incident handling capability for insider threats across [Assignment: organization-defined components or elements of the organization].,Assignment: organization-defined components or elements of the organization,Organization,,,,P1,0,0,0,0,89
633,IR-4 (8),4 (8),1,8,Correlation With External Organizations,Correlation With External Organizations,The organization coordinates with [Assignment: organization-defined external organizations] to correlate and share [Assignment: organization-defined incident information] to achieve a crossorganization perspective on incident awareness and more effective incident responses.,Assignment: organization-defined external organizations,Organization,,,,P1,0,0,0,0,89
634,IR-4 (9),4 (9),1,9,Dynamic Response Capability,Dynamic Response Capability,The organization employs [Assignment: organization-defined dynamic response capabilities] to effectively respond to security incidents.,Assignment: organization-defined dynamic response capabilities,Organization,,,,P1,0,0,0,0,89
635,IR-4a,4a,0,,,,"The organization implements an incident handling capability for security incidents that includes preparation, detection and analysis, containment, eradication, and recovery;",,Organization,,,,P1,0,1,1,1,89
636,IR-4b,4b,0,,,,The organization coordinates incident handling activities with contingency planning activities.,,Organization,,,,P1,0,1,1,1,89
637,IR-4c,4c,0,,,,"The organization incorporates lessons learned from ongoing incident handling activities into incident response procedures, training, and testing, and implements the resulting changes accordingly.",,Organization,,,,P1,0,1,1,1,89
638,IR-5,5,0,,,,The organization tracks and documents information system security incidents.,,Organization,,,,P1,1,1,1,1,90
639,IR-5 (1),5 (1),1,1,Automated Tracking / Data Collection / Analysis,Automated Tracking / Data Collection / Analysis,The organization employs automated mechanisms to assist in the tracking of security incidents and in the collection and analysis of incident information.,,Organization,,,,P1,1,0,0,1,90
641,IR-6 (1),6 (1),1,1,Automated Reporting,Automated Reporting,The organization employs automated mechanisms to assist in the reporting of security incidents.,,Organization,,,,P1,0,0,1,1,91
642,IR-6 (2),6 (2),1,2,Vulnerabilities Related To Incidents,Vulnerabilities Related To Incidents,The organization reports information system vulnerabilities associated with reported security incidents to [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,0,91
643,IR-6 (3),6 (3),1,3,Coordination With Supply Chain,Coordination With Supply Chain,The organization provides security incident information to other organizations involved in the supply chain for information systems or information system components related to the incident.,,Organization,,,,P1,0,0,0,0,91
644,IR-6a,6a,0,,,,The organization requires personnel to report suspected security incidents to the organizational incident response capability within [Assignment: organization-defined time period].,Assignment: organization-defined time period,Organization,,,,P1,0,1,1,1,91
645,IR-6b,6b,0,,,,The organization reports security incident information to [Assignment: organization-defined authorities].,Assignment: organization-defined authorities,Organization,,,,P1,0,1,1,1,91
646,IR-7,7,0,,,Incident Response Support,"The organization provides an incident response support resource, integral to the organizational incident response capability that offers advice and assistance to users of the information system for the handling and reporting of security incidents.",,Organization,,,,P2,0,1,1,1,92
647,IR-7 (1),7 (1),1,1,Automation Support For Availability Of Information / Support,Automation Support For Availability Of Information / Support,The organization employs automated mechanisms to increase the availability of incident response-related information and support.,,Organization,,,,P2,0,0,1,1,92
648,IR-7 (2)(a),7 (2)(a),1,(2)(a),Coordination With External Providers,Coordination With External Providers,"The organization establishes a direct, cooperative relationship between its incident response capability and external providers of information system protection capability.",,Organization,,,,P2,0,0,0,0,92
649,IR-7 (2)(b),7 (2)(b),1,(2)(b),Coordination With External Providers,Coordination With External Providers,The organization identifies organizational incident response team members to the external providers.,,Organization,,,,P2,0,0,0,0,92
651,IR-8a.1,8a.1,0,,,Incident Response Plan Roadmap,The organization develops an incident response plan that provides the organization with a roadmap for implementing its incident response capability;,,Organization,,,,P1,0,1,1,1,93
652,IR-8a.2,8a.2,0,,,Incident Response Plan Organizational Structure,The organization develops an incident response plan that describes the structure and organization of the incident response capability;,,Organization,,,,P1,0,1,1,1,93
653,IR-8a.3,8a.3,0,,,Incident Response Plan High-Level Approach,The organization develops an incident response plan that provides a high-level approach for how the incident response capability fits into the overall organization;,,Organization,,,,P1,0,1,1,1,93
654,IR-8a.4,8a.4,0,,,Incident Response Plan Compliance,"The organization develops an incident response plan that meets the unique requirements of the organization, which relate to mission, size, structure, and functions;",,Organization,,,,P1,0,1,1,1,93
655,IR-8a.5,8a.5,0,,,Incident Response Plan Reportable Incidents,The organization develops an incident response plan that defines reportable incidents;,,Organization,,,,P1,0,1,1,1,93
656,IR-8a.6,8a.6,0,,,Incident Response Plan Metrics,The organization develops an incident response plan that provides metrics for measuring the incident response capability within the organization;,,Organization,,,,P1,0,1,1,1,93
657,IR-8a.7,8a.7,0,,,Incident Response Plan Maturity,The organization develops an incident response plan that defines the resources and management support needed to effectively maintain and mature an incident response capability.,,Organization,,,,P1,0,1,1,1,93
658,IR-8a.8,8a.8,0,,,Incident Response Plan Approval,The organization develops an incident response plan that is reviewed and approved by [Assignment: organization-defined personnel or roles];,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,1,1,1,93
659,IR-8b,8b,0,,,Incident Response Plan Dissemination,The organization distributes copies of the incident response plan to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements];,Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements,Organization,,,,P1,0,1,1,1,93
660,IR-8c,8c,0,,,Incident Response Plan Review,The organization reviews the incident response plan [Assignment: organization-defined frequency];,Assignment: organization-defined frequency,Organization,,,,P1,0,1,1,1,93
661,IR-8d,8d,0,,,Incident Response Plan Updating,"The organization updates the incident response plan to address system/organizational changes or problems encountered during plan implementation, execution, or testing;",,Organization,,,,P1,0,1,1,1,93
662,IR-8e,8e,0,,,Incident Response Plan Change Communcation,The organization communicates incident response plan changes to [Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements].,Assignment: organization-defined incident response personnel (identified by name and/or by role) and organizational elements,Organization,,,,P1,0,1,1,1,93
663,IR-8f,8f,0,,,Incident Response Plan Confidentiality and Integrity,The organization protects the incident response plan from unauthorized disclosure and modification.,,Organization,,,,P1,0,1,1,1,93
665,IR-9 (1),9 (1),1,1,Responsible Personnel,Responsible Personnel,The organization assigns [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills.,Assignment: organization-defined personnel or roles,Organization,,,,P0,0,0,0,0,94
666,IR-9 (2),9 (2),1,2,Training,Training,The organization provides information spillage response training [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P0,0,0,0,0,94
667,IR-9 (3),9 (3),1,3,Post-Spill Operations,Post-Spill Operations,The organization implements [Assignment: organization-defined procedures] to ensure that organizational personnel impacted by information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions.,Assignment: organization-defined procedures,Organization,,,,P0,0,0,0,0,94
668,IR-9 (4),9 (4),1,4,Exposure To Unauthorized Personnel,Exposure To Unauthorized Personnel,The organization employs [Assignment: organization-defined security safeguards] for personnel exposed to information not within assigned access authorizations.,Assignment: organization-defined security safeguards,Organization,,,,P0,0,0,0,0,94
669,IR-9a,9a,0,,,,The organization responds to information spills by identifying the specific information involved in the information system contamination;,,Organization,,,,P0,0,0,0,0,94
670,IR-9b,9b,0,,,,The organization responds to information spills by alerting [Assignment: organization-defined personnel or roles] of the information spill using a method of communication not associated with the spill;,Assignment: organization-defined personnel or roles,Organization,,,,P0,0,0,0,0,94
671,IR-9c,9c,0,,,,The organization responds to information spills by isolating the contaminated information system or system component;,,Organization,,,,P0,0,0,0,0,94
672,IR-9d,9d,0,,,,The organization responds to information spills by eradicating the information from the contaminated information system or component;,,Organization,,,,P0,0,0,0,0,94
673,IR-9e,9e,0,,,,The organization responds to information spills by identifying other information systems or system components that may have been subsequently contaminated.,,Organization,,,,P0,0,0,0,0,94
674,IR-9f,9f,0,,,,The organization responds to information spills by performing other [Assignment: organization-defined actions].,Assignment: organization-defined actions,Organization,,,,P0,0,0,0,0,94
676,MA-1a.1,1a.1,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] a system maintenance policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,96
677,MA-1a.2,1a.2,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] procedures to facilitate the implementation of the system maintenance policy and associated system maintenance controls.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,96
678,MA-1b.1,1b.1,0,,,,The organization reviews and updates the current system maintenance policy [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,96
679,MA-1b.2,1b.2,0,,,,The organization reviews and updates the current system maintenance procedures [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,96
681,MA-2 (2)(a),2 (2)(a),1,(2)(a),Automated Maintenance Activities,Automated Maintenance Activities,"The organization employs automated mechanisms to schedule, conduct, and document maintenance and repairs.",,Organization,,,,P2,0,0,0,1,97
682,MA-2 (2)(b),2 (2)(b),1,(2)(b),Automated Maintenance Activities,Automated Maintenance Activities,"The organization produces up-to date, accurate, and complete records of all maintenance and repair actions requested, scheduled, in process, and completed.",,Organization,,,,P2,0,0,0,1,97
683,MA-2a,2a,0,,,,"The organization schedules, performs, documents, and reviews records of maintenance and repairs on information system components in accordance with manufacturer or vendor specifications and/or organizational requirements;",,Organization,,,,P2,0,1,1,1,97
684,MA-2b,2b,0,,,,"The organization approves and monitors all maintenance activities, whether performed on site or remotely and whether the equipment is serviced on site or removed to another location;",,Organization,,,,P2,0,1,1,1,97
685,MA-2c,2c,0,,,,The organization requires that [Assignment: organization-defined personnel or roles] explicitly approve the removal of the information system or system components from organizational facilities for off-site maintenance or repairs;,Assignment: organization-defined personnel or roles,Organization,,,,P2,0,1,1,1,97
686,MA-2d,2d,0,,,,The organization sanitizes equipment to remove all information from associated media prior to removal from organizational facilities for off-site maintenance or repairs;,,Organization,,,,P2,0,1,1,1,97
687,MA-2e,2e,0,,,,The organization checks all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions.,,Organization,,,,P2,0,1,1,1,97
688,MA-2f,2f,0,,,,The organization includes [Assignment: organization-defined maintenance-related information] in organizational maintenance records.,Assignment: organization-defined maintenance-related information,Organization,,,,P2,0,1,1,1,97
689,MA-3,3,0,,,,"The organization approves, controls, and monitors information system maintenance tools.",,Organization,,,,P3,0,0,1,1,98
690,MA-3 (1),3 (1),1,1,Inspect Tools,Inspect Tools,The organization inspects the maintenance tools carried into a facility by maintenance personnel for improper or unauthorized modifications.,,Organization,,,,P3,0,0,1,1,98
691,MA-3 (2),3 (2),1,2,Inspect Media,Inspect Media,The organization checks media containing diagnostic and test programs for malicious code before the media are used in the information system.,,Organization,,,,P3,0,0,1,1,98
692,MA-3 (3)(a),3 (3)(a),1,(3)(a),Prevent Unauthorized Removal,Prevent Unauthorized Removal,The organization prevents the unauthorized removal of maintenance equipment containing organizational information by verifying that there is no organizational information contained on the equipment;,,Organization,,,,P3,0,0,0,1,98
693,MA-3 (3)(b),3 (3)(b),1,(3)(b),Prevent Unauthorized Removal,Prevent Unauthorized Removal,The organization prevents the unauthorized removal of maintenance equipment containing organizational information by sanitizing or destroying the equipment;,,Organization,,,,P3,0,0,0,1,98
694,MA-3 (3)(c),3 (3)(c),1,(3)(c),Prevent Unauthorized Removal,Prevent Unauthorized Removal,The organization prevents the unauthorized removal of maintenance equipment containing organizational information by retaining the equipment within the facility; or,,Organization,,,,P3,0,0,0,1,98
695,MA-3 (3)(d),3 (3)(d),1,(3)(d,Prevent Unauthorized Removal,Prevent Unauthorized Removal,The organization prevents the unauthorized removal of maintenance equipment containing organizational information by obtaining an exemption from [Assignment: organization-defined personnel or roles] explicitly authorizing removal of the equipment from the facility.,Assignment: organization-defined personnel or roles,Organization,,,,P3,0,0,0,1,98
696,MA-3 (4),3 (4),1,4,Restricted Tool Use,Restricted Tool Use,The information system restricts the use of maintenance tools to authorized personnel only.,,Information System,,,,P3,0,0,0,0,98
698,MA-4 (1)(a),4 (1)(a),1,(1)(a),Auditing And Review,Auditing And Review,The organization audits nonlocal maintenance and diagnostic sessions [Assignment: organization-defined audit events].,Assignment: organization-defined audit events,Organization,,,,P2,0,0,0,0,99
699,MA-4 (1)(b),4 (1)(b),1,(1)(b),Auditing And Review,Auditing And Review,The organization reviews the records of the maintenance and diagnostic sessions.,,Organization,,,,P2,0,0,0,0,99
700,MA-4 (2),4 (2),1,2,Document Nonlocal Maintenance,Document Nonlocal Maintenance,"The organization documents in the security plan for the information system, the policies and procedures for the establishment and use of nonlocal maintenance and diagnostic connections.",,Organization,,,,P2,0,0,1,1,99
701,MA-4 (3)(a),4 (3)(a),1,(3)(a),Comparable Security / Sanitization,Comparable Security / Sanitization,The organization requires that nonlocal maintenance and diagnostic services be performed from an information system that implements a security capability comparable to the capability implemented on the system being serviced; or,,Organization,,,,P2,0,0,0,1,99
702,MA-4 (3)(b),4 (3)(b),1,(3)(b),Comparable Security / Sanitization,Comparable Security / Sanitization,"The organization removes the component to be serviced from the information system prior to nonlocal maintenance or diagnostic services, sanitizes the component (with regard to organizational information) before removal from organizational facilities, and after the service",,Organization,,,,P2,0,0,0,1,99
703,MA-4 (4)(a),4 (4)(a),1,(4)(a),Authentication / Separation Of Maintenance Sessions,Authentication / Separation Of Maintenance Sessions,The organization protects nonlocal maintenance sessions by employing [Assignment: organization-defined authenticators that are replay resistant].,Assignment: organization-defined authenticators that are replay resistant,Organization,,,,P2,0,0,0,0,99
704,MA-4 (4)(b)(1),4 (4)(b)(1),1,(4)(b),Authentication / Separation Of Maintenance Sessions,Authentication / Separation Of Maintenance Sessions,The organization protects nonlocal maintenance sessions by separating the maintenance sessions from other network sessions with the information system by either physically separated communications paths; or,,Organization,,,,P2,0,0,0,0,99
705,MA-4 (4)(b)(2),4 (4)(b)(2),1,(4)(b),Authentication / Separation Of Maintenance Sessions,Authentication / Separation Of Maintenance Sessions,The organization protects nonlocal maintenance sessions by separating the maintenance sessions from other network sessions with the information system by either logically separated communications paths based upon encryption.,,Organization,,,,P2,0,0,0,0,99
706,MA-4 (5)(a),4 (5)(a),1,(5)(a),Approvals And Notifications,Approvals And Notifications,The organization requires the approval of each nonlocal maintenance session by [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Organization,,,,P2,0,0,0,0,99
707,MA-4 (5)(b),4 (5)(b),1,(5)(b),Approvals And Notifications,Approvals And Notifications,The organization notifies [Assignment: organization-defined personnel or roles] of the date and time of planned nonlocal maintenance.,Assignment: organization-defined personnel or roles,Organization,,,,P2,0,0,0,0,99
708,MA-4 (6),4 (6),1,6,Cryptographic Protection,Cryptographic Protection,The information system implements cryptographic mechanisms to protect the integrity and confidentiality of nonlocal maintenance and diagnostic communications.,,Information System,,,,P2,0,0,0,0,99
709,MA-4 (7),4 (7),1,7,Remote Disconnect Verification,Remote Disconnect Verification,The information system implements remote disconnect verification at the termination of nonlocal maintenance and diagnostic sessions.,,Information System,,,,P2,0,0,0,0,99
710,MA-4a,4a,0,,,,The organization approves and monitors nonlocal maintenance and diagnostic activities;,,Organization,,,,P2,0,1,1,1,99
711,MA-4b,4b,0,,,,The organization allows the use of nonlocal maintenance and diagnostic tools only as consistent with organizational policy and documented in the security plan for the information system;,,Organization,,,,P2,0,1,1,1,99
712,MA-4c,4c,0,,,,The organization employs strong authenticators in the establishment of nonlocal maintenance and diagnostic sessions;,,Organization,,,,P2,0,1,1,1,99
713,MA-4d,4d,0,,,,The organization maintains records for nonlocal maintenance and diagnostic activities.,,Organization,,,,P2,0,1,1,1,99
714,MA-4e,4e,0,,,,The organization terminates session and network connections when nonlocal maintenance is completed.,,Organization,,,,P2,0,1,1,1,99
716,MA-5 (1)(a)(1),5 (1)(a)(1),1,(1)(a),Individuals Without Appropriate Access,Individuals Without Appropriate Access,"The organization implements procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens, that include the following requirements maintenance personnel who do not have needed access authorizations, clearances, or formal access approvals are escorted and supervised during the performance of maintenance and diagnostic activities on the information system by approved organizational per",,Organization,,,,P2,0,0,0,1,100
717,MA-5 (1)(a)(2),5 (1)(a)(2),1,(1)(a),Individuals Without Appropriate Access,Individuals Without Appropriate Access,"The organization implements procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens, that include the following requirements prior to initiating maintenance or diagnostic activities by personnel who do not have needed access authorizations, clearances or formal access approvals, all volatile information storage components within the information system are sanitized and all nonv",,Organization,,,,P2,0,0,0,1,100
718,MA-5 (1)(b),5 (1)(b),1,(1)(b),Individuals Without Appropriate Access,Individuals Without Appropriate Access,"The organization develops and implements alternate security safeguards in the event an information system component cannot be sanitized, removed, or disconnected from the system.",,Organization,,,,P2,0,0,0,1,100
719,MA-5 (2),5 (2),1,2,Security Clearances For Classified Systems,Security Clearances For Classified Systems,"The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information possess security clearances and formal access approvals for at least the highest",,Organization,,,,P2,0,0,0,0,100
720,MA-5 (3),5 (3),1,3,Citizenship Requirements For Classified Systems,Citizenship Requirements For Classified Systems,"The organization ensures that personnel performing maintenance and diagnostic activities on an information system processing, storing, or transmitting classified information are U.S. citizens.",,Organization,,,,P2,0,0,0,0,100
721,MA-5 (4)(a),5 (4)(a),1,(4)(a),Foreign Nationals,Foreign Nationals,"The organization ensures that cleared foreign nationals (i.e., foreign nationals with appropriate security clearances), are used to conduct maintenance and diagnostic activities on classified information systems only when the systems are jointly owned and operated by the United States",,Organization,,,,P2,0,0,0,0,100
722,MA-5 (4)(b),5 (4)(b),1,(4)(b),Foreign Nationals,Foreign Nationals,"The organization ensures that approvals, consents, and detailed operational conditions regarding the use of foreign nationals to conduct maintenance and diagnostic activities on classified information systems are fully documented within Memoranda of Agreements.",,Organization,,,,P2,0,0,0,0,100
723,MA-5 (5),5 (5),1,5,Nonsystem-Related Maintenance,Nonsystem-Related Maintenance,"The organization ensures that non-escorted personnel performing maintenance activities not directly associated with the information system but in the physical proximity of the system, have required access authorizations.",,Organization,,,,P2,0,0,0,0,100
724,MA-5a,5a,0,,,,The organization establishes a process for maintenance personnel authorization and maintains a list of authorized maintenance organizations or personnel;,,Organization,,,,P2,0,1,1,1,100
725,MA-5b,5b,0,,,,The organization ensures that non-escorted personnel performing maintenance on the information system have required access authorizations.,,Organization,,,,P2,0,1,1,1,100
726,MA-5c,5c,0,,,,The organization designates organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.,,Organization,,,,P2,0,1,1,1,100
727,MA-6,6,0,,,,The organization obtains maintenance support and/or spare parts for [Assignment: organization-defined information system components] within [Assignment: organization-defined time period] of failure.,Assignment: organization-defined information system components,Organization,,,,P2,0,0,1,1,101
728,MA-6 (1),6 (1),1,1,Preventive Maintenance,Preventive Maintenance,The organization performs preventive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].,Assignment: organization-defined information system components,Organization,,,,P2,0,0,0,0,101
729,MA-6 (2),6 (2),1,2,Predictive Maintenance,Predictive Maintenance,The organization performs predictive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].,Assignment: organization-defined information system components,Organization,,,,P2,0,0,0,0,101
730,MA-6 (3),6 (3),1,3,Automated Support For Predictive Maintenance,Automated Support For Predictive Maintenance,The organization employs automated mechanisms to transfer predictive maintenance data to a computerized maintenance management system.,,Organization,,,,P2,0,0,0,0,101
732,MP-1a.1,1a.1,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] a media protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,102
733,MP-1a.2,1a.2,0,,,,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] procedures to facilitate the implementation of the media protection policy and associated media protection controls.",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,102
734,MP-1b.1,1b.1,0,,,,The organization reviews and updates the current media protection policy [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,102
735,MP-1b.2,1b.2,0,,,,The organization reviews and updates the current media protection procedures [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,102
736,MP-2,2,0,,,,The organization restricts access to [Assignment: organization-defined types of digital and/or non-digital media] to [Assignment: organization-defined personnel or roles].,Assignment: organization-defined types of digital and/or non-digital media,Organization,,,,P1,0,1,1,1,103
738,MP-3a,3a,0,,,,"The organization marks information system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information.",,Organization,,,,P2,0,0,1,1,104
739,MP-3b,3b,0,,,,The organization exempts [Assignment: organization-defined types of information system media] from marking as long as the media remain within [Assignment: organization-defined controlled areas].,Assignment: organization-defined types of information system media,Organization,,,,P2,0,0,1,1,104
741,MP-4 (2),4 (2),1,2,Automated Restricted Access,Automated Restricted Access,The organization employs automated mechanisms to restrict access to media storage areas and to audit access attempts and access granted.,,Organization,,,,P1,0,0,0,0,105
742,MP-4a,4a,0,,,,The organization physically controls and securely stores [Assignment: organization-defined types of digital and/or non-digital media] within [Assignment: organization-defined controlled areas].,Assignment: organization-defined types of digital and/or non-digital media,Organization,,,,P1,0,0,1,1,105
743,MP-4b,4b,0,,,,"The organization protects information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures.",,Organization,,,,P1,0,0,1,1,105
745,MP-5 (3),5 (3),1,3,Custodians,Custodian Transport Outside Controlled Areas,The organization employs an identified custodian during transport of information system media outside of controlled areas.,,Organization,,,,P1,0,0,0,0,106
746,MP-5 (4),5 (4),1,4,Cryptographic Protection,Cryptographic Protection Implementation Outside Controlled Areas,The information system implements cryptographic mechanisms to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.,,Information System,,,,P1,0,0,1,1,106
747,MP-5a,5a,0,,,Media Protection Outside Controlled Areas,The organization protects and controls [Assignment: organization-defined types of information system media] during transport outside of controlled areas using [Assignment: organization-defined security safeguards];,Assignment: organization-defined types of information system media,Organization,,,,P1,0,0,1,1,106
748,MP-5b,5b,0,,,Media Protection Accountability Outside Controlled Areas,The organization maintains accountability for information system media during transport outside of controlled areas;,,Organization,,,,P1,0,0,1,1,106
749,MP-5c,5c,0,,,Media Transportation Documentation,The organization documents activities associated with the transport of information system media.,,Organization,,,,P1,0,0,1,1,106
750,MP-5d,5d,0,,,Authorized Personnel Only,The organization restricts the activities associated with the transport of information system media to authorized personnel.,,Organization,,,,P1,0,0,1,1,106
752,MP-6 (1),6 (1),1,1,Review / Approve / Track / Document / Verify,Review / Approve / Track / Document / Verify,"The organization reviews, approves, tracks, documents, and verifies media sanitization and disposal actions.",,Organization,,,,P1,0,0,0,1,107
753,MP-6 (2),6 (2),1,2,Equipment Testing,Sanitation Procedure Testing,The organization tests sanitization equipment and procedures [Assignment: organization-defined frequency] to verify that the intended sanitization is being achieved.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,0,1,107
754,MP-6 (3),6 (3),1,3,Nondestructive Techniques,Nondestructive Techniques,The organization applies nondestructive sanitization techniques to portable storage devices prior to connecting such devices to the information system under the following circumstances: [Assignment: organization-defined circumstances requiring sanitization of portable storage devices].,Assignment: organization-defined circumstances requiring sanitization of portable storage devices,Organization,,,,P1,0,0,0,1,107
755,MP-6 (7),6 (7),1,7,Dual Authorization,Dual Authorization,The organization enforces dual authorization for the sanitization of [Assignment: organization-defined information system media].,Assignment: organization-defined information system media,Organization,,,,P1,0,0,0,0,107
756,MP-6 (8),6 (8),1,8,Remote Purging / Wiping Of Information,Remote Purging / Wiping Of Information,"The organization provides the capability to purge/wipe information from [Assignment: organization-defined information systems, system components, or devices] either remotely or under the following conditions: [Assignment: organization-defined conditions].","Assignment: organization-defined information systems, system components, or devices",Organization,,,,P1,0,0,0,0,107
757,MP-6a,6a,0,,,Policy-Based Media Sanitation,"The organization sanitizes [Assignment: organization-defined information system media] prior to disposal, release out of organizational control, or release for reuse using [Assignment: organizationdefined sanitization techniques and procedures] in accordance with applicable federal and organizational standards and policies.",Assignment: organization-defined information system media,Organization,,,,P1,0,1,1,1,107
758,MP-6b,6b,0,,,Classification-Based Sanitation,The organization employs sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.,,Organization,,,,P1,0,1,1,1,107
759,MP-7,7,0,,,Media Use Restrictions,The organization [Selection: restricts; prohibits] the use of [Assignment: organizationdefined types of information system media] on [Assignment: organization-defined information systems or system components] using [Assignment: organization-defined security safeguards].,Selection: restricts; prohibits,Organization,,,,P1,0,1,1,1,108
760,MP-7 (1),7 (1),1,1,Prohibit Use Without Owner,Prohibit Use Without Owner,The organization prohibits the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,,Organization,,,,P1,0,0,1,1,108
761,MP-7 (2),7 (2),1,2,Prohibit Use Of Sanitization-Resistant Media,Prohibit Use Of Sanitization-Resistant Media,The organization prohibits the use of sanitization-resistant media in organizational information systems.,,Organization,,,,P1,0,0,0,0,108
763,MP-8 (1),8 (1),1,1,Documentation Of Process,Downgrading Documentation,The organization documents information system media downgrading actions.,,Organization,,,,P0,0,0,0,0,109
764,MP-8 (2),8 (2),1,2,Equipment Testing,Downgrading Verification,The organization employs [Assignment: organization-defined tests] of downgrading equipment and procedures to verify correct performance [Assignment: organization-defined frequency].,Assignment: organization-defined tests,Organization,,,,P0,0,0,0,0,109
765,MP-8 (3),8 (3),1,3,Controlled Unclassified Information,Controlled Unclassified Information,The organization downgrades information system media containing [Assignment: organization-defined Controlled Unclassified Information (CUI)] prior to public release in accordance with applicable federal and organizational standards and policies.,Assignment: organization-defined Controlled Unclassified Information (CUI),Organization,,,,P0,0,0,0,0,109
